subj,session,trial,rt,object_response,category,condition,imagename
specialised,1,1,,oven,knife,0,0001_ps_dnn_0_knife_10_n03041632_8618.png
specialised,1,2,,bicycle,knife,0,0002_ps_dnn_0_knife_10_n03041632_51256.png
specialised,1,3,,chair,knife,0,0003_ps_dnn_0_knife_10_n03041632_27898.png
specialised,1,4,,bottle,knife,0,0004_ps_dnn_0_knife_10_n03041632_32177.png
specialised,1,5,,knife,knife,0,0005_ps_dnn_0_knife_10_n03041632_23548.png
specialised,1,6,,knife,knife,0,0006_ps_dnn_0_knife_10_n03041632_41381.png
specialised,1,7,,truck,knife,0,0007_ps_dnn_0_knife_10_n03041632_24264.png
specialised,1,8,,knife,knife,0,0008_ps_dnn_0_knife_10_n03041632_45090.png
specialised,1,9,,bottle,knife,0,0009_ps_dnn_0_knife_10_n03041632_87339.png
specialised,1,10,,oven,knife,0,0010_ps_dnn_0_knife_10_n03041632_96361.png
specialised,1,11,,keyboard,keyboard,0,0011_ps_dnn_0_keyboard_10_n03085013_21070.png
specialised,1,12,,keyboard,keyboard,0,0012_ps_dnn_0_keyboard_10_n04505470_5009.png
specialised,1,13,,keyboard,keyboard,0,0013_ps_dnn_0_keyboard_10_n03085013_3098.png
specialised,1,14,,keyboard,keyboard,0,0014_ps_dnn_0_keyboard_10_n03085013_20594.png
specialised,1,15,,keyboard,keyboard,0,0015_ps_dnn_0_keyboard_10_n04505470_3261.png
specialised,1,16,,keyboard,keyboard,0,0016_ps_dnn_0_keyboard_10_n04505470_8121.png
specialised,1,17,,keyboard,keyboard,0,0017_ps_dnn_0_keyboard_10_n04505470_64.png
specialised,1,18,,keyboard,keyboard,0,0018_ps_dnn_0_keyboard_10_n03085013_19687.png
specialised,1,19,,keyboard,keyboard,0,0019_ps_dnn_0_keyboard_10_n04505470_241.png
specialised,1,20,,chair,keyboard,0,0020_ps_dnn_0_keyboard_10_n03085013_23763.png
specialised,1,21,,elephant,elephant,0,0021_ps_dnn_0_elephant_10_n02504013_6171.png
specialised,1,22,,elephant,elephant,0,0022_ps_dnn_0_elephant_10_n02504013_5918.png
specialised,1,23,,elephant,elephant,0,0023_ps_dnn_0_elephant_10_n02504458_574.png
specialised,1,24,,elephant,elephant,0,0024_ps_dnn_0_elephant_10_n02504458_804.png
specialised,1,25,,elephant,elephant,0,0025_ps_dnn_0_elephant_10_n02504013_2787.png
specialised,1,26,,elephant,elephant,0,0026_ps_dnn_0_elephant_10_n02504458_8126.png
specialised,1,27,,elephant,elephant,0,0027_ps_dnn_0_elephant_10_n02504458_341.png
specialised,1,28,,elephant,elephant,0,0028_ps_dnn_0_elephant_10_n02504458_5288.png
specialised,1,29,,elephant,elephant,0,0029_ps_dnn_0_elephant_10_n02504013_6880.png
specialised,1,30,,elephant,elephant,0,0030_ps_dnn_0_elephant_10_n02504458_4228.png
specialised,1,31,,bicycle,bicycle,0,0031_ps_dnn_0_bicycle_10_n02835271_17168.png
specialised,1,32,,bicycle,bicycle,0,0032_ps_dnn_0_bicycle_10_n03792782_15614.png
specialised,1,33,,bicycle,bicycle,0,0033_ps_dnn_0_bicycle_10_n03792782_67333.png
specialised,1,34,,bicycle,bicycle,0,0034_ps_dnn_0_bicycle_10_n02835271_9507.png
specialised,1,35,,bicycle,bicycle,0,0035_ps_dnn_0_bicycle_10_n03792782_6250.png
specialised,1,36,,bicycle,bicycle,0,0036_ps_dnn_0_bicycle_10_n03792782_15189.png
specialised,1,37,,car,bicycle,0,0037_ps_dnn_0_bicycle_10_n02835271_6921.png
specialised,1,38,,bicycle,bicycle,0,0038_ps_dnn_0_bicycle_10_n02835271_12173.png
specialised,1,39,,bicycle,bicycle,0,0039_ps_dnn_0_bicycle_10_n03792782_17134.png
specialised,1,40,,bicycle,bicycle,0,0040_ps_dnn_0_bicycle_10_n02835271_2013.png
specialised,1,41,,airplane,airplane,0,0041_ps_dnn_0_airplane_10_n02690373_20071.png
specialised,1,42,,airplane,airplane,0,0042_ps_dnn_0_airplane_10_n02690373_8583.png
specialised,1,43,,airplane,airplane,0,0043_ps_dnn_0_airplane_10_n02690373_5689.png
specialised,1,44,,airplane,airplane,0,0044_ps_dnn_0_airplane_10_n02690373_1451.png
specialised,1,45,,airplane,airplane,0,0045_ps_dnn_0_airplane_10_n02690373_1975.png
specialised,1,46,,airplane,airplane,0,0046_ps_dnn_0_airplane_10_n02690373_2010.png
specialised,1,47,,airplane,airplane,0,0047_ps_dnn_0_airplane_10_n02690373_3451.png
specialised,1,48,,airplane,airplane,0,0048_ps_dnn_0_airplane_10_n02690373_10723.png
specialised,1,49,,airplane,airplane,0,0049_ps_dnn_0_airplane_10_n02690373_7408.png
specialised,1,50,,airplane,airplane,0,0050_ps_dnn_0_airplane_10_n02690373_5487.png
specialised,1,51,,clock,clock,0,0051_ps_dnn_0_clock_10_n04548280_7069.png
specialised,1,52,,bottle,clock,0,0052_ps_dnn_0_clock_10_n02708093_1356.png
specialised,1,53,,clock,clock,0,0053_ps_dnn_0_clock_10_n04548280_4862.png
specialised,1,54,,chair,clock,0,0054_ps_dnn_0_clock_10_n04548280_8429.png
specialised,1,55,,clock,clock,0,0055_ps_dnn_0_clock_10_n03196217_85.png
specialised,1,56,,clock,clock,0,0056_ps_dnn_0_clock_10_n04548280_5072.png
specialised,1,57,,chair,clock,0,0057_ps_dnn_0_clock_10_n04548280_2712.png
specialised,1,58,,clock,clock,0,0058_ps_dnn_0_clock_10_n02708093_4833.png
specialised,1,59,,clock,clock,0,0059_ps_dnn_0_clock_10_n04548280_1108.png
specialised,1,60,,clock,clock,0,0060_ps_dnn_0_clock_10_n04548280_1619.png
specialised,1,61,,oven,oven,0,0061_ps_dnn_0_oven_10_n04111531_8353.png
specialised,1,62,,oven,oven,0,0062_ps_dnn_0_oven_10_n04111531_519.png
specialised,1,63,,oven,oven,0,0063_ps_dnn_0_oven_10_n04111531_4685.png
specialised,1,64,,oven,oven,0,0064_ps_dnn_0_oven_10_n04111531_8441.png
specialised,1,65,,oven,oven,0,0065_ps_dnn_0_oven_10_n04111531_1567.png
specialised,1,66,,oven,oven,0,0066_ps_dnn_0_oven_10_n04111531_10681.png
specialised,1,67,,oven,oven,0,0067_ps_dnn_0_oven_10_n04111531_1828.png
specialised,1,68,,oven,oven,0,0068_ps_dnn_0_oven_10_n04111531_663.png
specialised,1,69,,oven,oven,0,0069_ps_dnn_0_oven_10_n04111531_5102.png
specialised,1,70,,oven,oven,0,0070_ps_dnn_0_oven_10_n04111531_1295.png
specialised,1,71,,car,chair,0,0071_ps_dnn_0_chair_10_n03376595_697.png
specialised,1,72,,chair,chair,0,0072_ps_dnn_0_chair_10_n03376595_849.png
specialised,1,73,,chair,chair,0,0073_ps_dnn_0_chair_10_n04429376_23092.png
specialised,1,74,,chair,chair,0,0074_ps_dnn_0_chair_10_n03376595_16197.png
specialised,1,75,,chair,chair,0,0075_ps_dnn_0_chair_10_n02791124_2058.png
specialised,1,76,,knife,chair,0,0076_ps_dnn_0_chair_10_n04099969_23387.png
specialised,1,77,,chair,chair,0,0077_ps_dnn_0_chair_10_n02791124_7602.png
specialised,1,78,,chair,chair,0,0078_ps_dnn_0_chair_10_n02791124_7174.png
specialised,1,79,,oven,chair,0,0079_ps_dnn_0_chair_10_n03376595_7755.png
specialised,1,80,,chair,chair,0,0080_ps_dnn_0_chair_10_n04099969_6360.png
specialised,1,81,,bear,bear,0,0081_ps_dnn_0_bear_10_n02134084_5756.png
specialised,1,82,,bear,bear,0,0082_ps_dnn_0_bear_10_n02133161_14729.png
specialised,1,83,,bear,bear,0,0083_ps_dnn_0_bear_10_n02133161_1059.png
specialised,1,84,,bear,bear,0,0084_ps_dnn_0_bear_10_n02134418_5962.png
specialised,1,85,,bear,bear,0,0085_ps_dnn_0_bear_10_n02132136_4883.png
specialised,1,86,,bear,bear,0,0086_ps_dnn_0_bear_10_n02134084_7288.png
specialised,1,87,,bear,bear,0,0087_ps_dnn_0_bear_10_n02132136_6431.png
specialised,1,88,,bear,bear,0,0088_ps_dnn_0_bear_10_n02133161_5066.png
specialised,1,89,,bear,bear,0,0089_ps_dnn_0_bear_10_n02132136_13864.png
